DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE,TIME
02/08/2024,2516 MERRINGTON CRESCENT,MISSISSAUGA,ONTARIO,L5K2B9,JESSICA RA,"SUTTON GROUP QUANTUM REALTY INC., BROKERAGE","$1,279,000",43.52084654,79.67656546,1 day
02/08/2024,31 - 525 MEADOWS BOULEVARD,MISSISSAUGA,ONTARIO,L4Z1H2,MARIA URSINI,RE/MAX CONDOS PLUS CORPORATION,"$850,000",43.6103918,79.6307462,1 day
02/08/2024,3137 ECLIPSE AVENUE,MISSISSAUGA,ONTARIO,L5M7X3,ZARIFA BAHRAN,REAL BROKER ONTARIO LTD.,"$999,900",43.5457115,79.7232868,1 day
02/08/2024,3178 HUXLEY DRIVE,MISSISSAUGA,ONTARIO,L5L4S7,LEO MANCHISI,EXP REALTY,"$1,399,000",43.5312662,79.702385,1 day
02/08/2024,3037 OWLS FOOT DRIVE,MISSISSAUGA,ONTARIO,L5M6W5,GRANT GILMOUR,RE/MAX REALTY SPECIALISTS INC.,"$1,100,000",43.564229,79.7398276,1 day
02/08/2024,206 - 1050 STAINTON DRIVE,MISSISSAUGA,ONTARIO,L5C2T7,ASEF RAFIQI,RIGHT AT HOME REALTY,"$580,000",43.5591099,79.6437362,1 day
02/08/2024,1983 BARBER HOUSE LANE,MISSISSAUGA,ONTARIO,L5M2G9,ZIA MD NOWROZ BHUIYAN,CENTURY 21 PEOPLE'S CHOICE REALTY INC.,"$1,490,000",43.5718979,79.6995276,1 day
02/08/2024,21 - 5255 PALMETTO PLACE,MISSISSAUGA,ONTARIO,L5M0H2,MANOJ KARATHA,THE CANADIAN HOME REALTY INC.,"$974,900",43.55165,79.7244608,1 day
02/08/2024,2221 ROBINWOOD COURT,MISSISSAUGA,ONTARIO,L5M5B8,MICHAEL YEO,LIVING REALTY INC.,"$2,520,000",43.5708654,79.7085958,1 day
02/08/2024,2307 - 3985 GRAND PARK DRIVE,MISSISSAUGA,ONTARIO,L5B0K4,SUSANNE MASTROMATTEI,CENTURY 21 ATRIA REALTY INC.,"$589,900",43.5816391,79.648193,1 day
02/08/2024,604 - 4677 GLEN ERIN DRIVE,MISSISSAUGA,ONTARIO,L5M2E3,JOE TU,HOMELIFE LANDMARK REALTY INC.,"$749,900",43.5555234,79.710023,1 hour
02/08/2024,5701 - 3900 CONFEDERATION PARKWAY,MISSISSAUGA,ONTARIO,L5B0M3,MUHAMMAD CHHABRA,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$599,900",43.5845952,79.6450251,1 hour
