DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE,TIME
30/07/2024,50 GEORGE STREET,TORONTO,ONTARIO,M8V2S2,AMELIA KATICA POKLAR,CENTURY 21 ATRIA REALTY INC.,"$1,419,000",43.6095533,79.4945447,87 days
05/08/2024,5000 DUNDAS STREET W,TORONTO,ONTARIO,M9A1B8,ADAMO COLELLA,RE/MAX WEST REALTY INC.,"$3,449,000",43.646638,79.5310025,158 days
30/07/2024,5 SCOTCH ELMWAY AVENUE,TORONTO,ONTARIO,M4N3N4,NINA WANG,DREAM HOME REALTY INC.,"$1,368,000",43.73648,79.40466,48 days
05/08/2024,5 BROWSIDE AVENUE,TORONTO,ONTARIO,M5P2T9,TOBY HAN,MASTER'S TRUST REALTY INC.,"$5,580,000",43.6967574,79.4150101,136 days
03/08/2024,5 BARNES CRESCENT,TORONTO,ONTARIO,M1G1Z8,BADAR MAHMOOD,HOMELIFE/MIRACLE REALTY LTD,"$999,800",43.7656995,79.2189992,2 days
30/07/2024,5 - 88 MUNRO STREET,TORONTO,ONTARIO,M4M2S9,ALEXANDRA COTE,REAL BROKER ONTARIO LTD.,"$859,900",43.661629,79.3530242,3 days
01/08/2024,4809 - 38 WIDMER STREET,TORONTO,ONTARIO,M5V0P7,STEPHANIE LI,PROMPTON REAL ESTATE SERVICES CORP.,"$629,900",43.6479866,79.3918411,
05/08/2024,483 WESTMOUNT AVENUE,TORONTO,ONTARIO,M6E3N6,MATT GERLOCK,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$979,000",43.6883302,79.4458271,4 days
30/07/2024,48A CHATFIELD DRIVE,TORONTO,ONTARIO,M3B1K5,SUNNY SINGH,"KELLER WILLIAMS ENERGY REAL ESTATE, BROKERAGE","$1,500,000",43.743986,79.3544883,95 days
31/07/2024,49 - 40 DUNDALK DRIVE,TORONTO,ONTARIO,M1P4S3,BRENDA SULLIVAN,CENTURY 21 HERITAGE GROUP LTD.,"$894,999",43.767965,79.2862893,22 hours
30/07/2024,49 ALLENBY AVENUE,TORONTO,ONTARIO,M9W1S5,LISA LI,IPRO REALTY LTD.,"$849,000",43.7120826,79.5495008,2 days
30/07/2024,49 GEMSHAW CRESCENT,TORONTO,ONTARIO,M1B1L3,TRISCIA S.K. CUST,HOMELIFE/VISION REALTY INC.,"$1,500,000",43.8001664,79.2111341,81 days
30/07/2024,49 GRAYSTONE GARDENS,TORONTO,ONTARIO,M8Z3C2,DAVID BIRD,ROYAL LEPAGE NRC REALTY,"$1,495,000",43.6395694,79.5254378,144 days
30/07/2024,49 KENTISH CRESCENT,TORONTO,ONTARIO,M1S2Z3,NATHAN SIVAPATHASUNDARAM,HOMELIFE/FUTURE REALTY INC.,"$1,398,000",43.7889498,79.2499165,53 days
05/08/2024,49 PHEASANT ROAD,TORONTO,ONTARIO,M2M3H1,CHARLES LI,"T-ONE GROUP REALTY INC.,","$4,188,000",43.7929842,79.4066375,126 days
01/08/2024,4909 - 12 YORK STREET,TORONTO,ONTARIO,M5J0A9,STEVE MOSTAFAEE,HOMELIFE/BAYVIEW REALTY INC.,"$619,900",43.6417442,79.3819559,
05/08/2024,4910 - 14 YORK STREET,TORONTO,ONTARIO,M5J0B1,AMBER LI,HOMELIFE NEW WORLD REALTY INC.,"$599,000",43.6421544,79.381624,158 days
03/08/2024,4910 - 197 YONGE STREET,TORONTO,ONTARIO,M5B1M4,LENA ZHOU,RE/MAX ELITE REAL ESTATE,"$659,000",43.6534359,79.3791875,1 day
30/07/2024,493 CARLAW AVENUE,TORONTO,ONTARIO,M4K3H9,EFFIE PANAGIOTOPOULOS,RE/MAX ULTIMATE REALTY INC.,"$1,389,900",43.6696955,79.3433709,27 days
31/07/2024,499 SCARBOROUGH GOLF CLU ROAD,TORONTO,ONTARIO,M1G1H3,CHRIS GAWRYS,GOWEST REALTY LTD.,"$1,049,000",43.7586195,79.2144156,5 hours
31/07/2024,499 SCARBOROUGH GOLF CLUB ROAD,TORONTO,ONTARIO,M1G1H3,CHRIS GAWRYS,"GOWEST REALTY LTD., BROKERAGE","$1,049,000",43.75862954,79.21443885,6 hours
30/07/2024,5 - 32 GOTHIC AVENUE,TORONTO,ONTARIO,M6P2V9,MICHAEL PHINNEY,ROYAL LEPAGE REAL ESTATE SERVICES PHINNEY REAL ESTATE,"$1,499,999",43.6537765,79.4685358,49 days
05/08/2024,46 BUDWORTH DRIVE,TORONTO,ONTARIO,M1E3H9,BANTOO KHURANA,CENTURY 21 LEADING EDGE REALTY INC.,"$1,249,000",43.7645145,79.181097,2 days
05/08/2024,5001 - 311 BAY STREET,TORONTO,ONTARIO,M5H4G5,DHIREN PATEL,FOREST HILL REAL ESTATE INC.,"$3,425,000",43.6498719,79.3801828,144 days
05/08/2024,4577 STEELES AVENUE E,TORONTO,ONTARIO,M1V4S4,FRANK J. PROTOMANNI,CBRE LIMITED,"$14,000,000",43.8237432,79.3056986,149 days
05/08/2024,452 - 24 SOUTHPORT STREET,TORONTO,ONTARIO,M6S4Z1,ERIKA ALVARENGA DA SILVA,EXP REALTY,"$735,000",43.6376168,79.4729925,165 days
05/08/2024,43 - 30 DUNDALK DRIVE,TORONTO,ONTARIO,M1P4W1,MANOGARAN SUBRAMANIAM,HOMELIFE/FUTURE REALTY INC.,"$798,000",43.7665298,79.2849306,2 days
30/07/2024,43 ASHFIELD DRIVE,TORONTO,ONTARIO,M9C4T7,DEAN BANASCO,RE/MAX REALTY SPECIALISTS INC.,"$1,189,990",43.6663002,79.5831729,3 days
05/08/2024,43 FOREST GROVE DRIVE,TORONTO,ONTARIO,M2K1Z4,SUSAN IRIARTE,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$11,995,000",43.7794751,79.3794842,156 days
30/07/2024,43 MERRYGALE CRESCENT,TORONTO,ONTARIO,M9B5N9,MIRANDA BIMO,SUTTON GROUP-ADMIRAL REALTY INC.,"$1,410,000",43.6572754,79.5607284,32 days
31/07/2024,43 SHELLAMWOOD TRAIL,TORONTO,ONTARIO,M1S2M9,ARIANNA CODELUPPI,RE/MAX ABOUTOWNE REALTY CORP.,"$1,588,000",43.8029566,79.2810375,33 minutes
31/07/2024,43 SNOWSHOE MILLWAY,TORONTO,ONTARIO,M2L1T4,JENNIFER MARY POPO,ROYAL LEPAGE SIGNATURE REALTY,"$1,595,000",43.7507642,79.3800941,5 hours
03/08/2024,43 TARRAGONA BOULEVARD,TORONTO,ONTARIO,M6N5C2,TONY HUDSON,CENTURY 21 LEADING EDGE REALTY INC.,"$1,150,000",43.6718274,79.4736867,2 days
05/08/2024,42A LINDEN AVENUE,TORONTO,ONTARIO,M1K3H5,LOUIS STOJCEVSKI,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$949,900",43.7203047,79.2571776,3 days
31/07/2024,430 - 2300 ST CLAIR AVENUE W,TORONTO,ONTARIO,M6N1K8,GEORGE KOZARIS,ROYAL LEPAGE VISION REALTY,"$569,900",43.6704884,79.4781969,1 day
05/08/2024,4302 - 180 UNIVERSITY AVENUE,TORONTO,ONTARIO,M5H0A2,AMIR ZARABI,ALLIANCE REALTY INC.,"$1,150,000",43.6488268,79.386259,140 days
05/08/2024,4303 - 21 ICEBOAT TERRACE,TORONTO,ONTARIO,M5V4A9,PETER WANG,BAY STREET GROUP INC.,"$735,000",43.6404981,79.3974313,571 days
31/07/2024,4303 - 2220 LAKESHORE BOULEVARD W,TORONTO,ONTARIO,M8V0C1,SAVANNAH WENG,RE/MAX DASH REALTY,"$599,000",43.6228596,79.4831828,8 hours
01/08/2024,4303 - 2220 LAKESHORE BOULEVARD W,TORONTO,ONTARIO,M8V0C1,SAVANNAH WENG,RE/MAX DASH REALTY,"$639,900",43.6228596,79.4831828,
31/07/2024,4303 - 75 QUEENS WHARF ROAD,TORONTO,ONTARIO,M5V0J8,LIZ LIU,RE/MAX ATRIUM HOME REALTY,"$708,800",43.6384766,79.3980126,2 days
31/07/2024,4304 - 28 FREELAND STREET,TORONTO,ONTARIO,M5E0E3,TAREK AGHA,RIGHT AT HOME REALTY,"$849,000",43.6436476,79.3737615,36 minutes
05/08/2024,4306 - 8 CUMBERLAND STREET,TORONTO,ONTARIO,M4W0B6,JONATHAN TUTTLE,MILBORNE REAL ESTATE INC.,"$1,559,990",43.6710845,79.3877873,177 days
05/08/2024,4302 - 15 MERCER STREET,TORONTO,ONTARIO,M5V3C6,APRIL DE JESUS,ROYAL LEPAGE CERTIFIED REALTY,"$1,799,990",43.6455696,79.3901536,124 days
05/08/2024,4307 - 8 CUMBERLAND STREET,TORONTO,ONTARIO,M4W0B6,JONATHAN TUTTLE,MILBORNE REAL ESTATE INC.,"$1,359,990",43.6710845,79.3877873,177 days
05/08/2024,429 - 2300 ST CLAIR AVENUE W,TORONTO,ONTARIO,M6N1K8,NOORY DINANI,HOUSESIGMA INC.,"$595,000",43.6704884,79.4781969,196 days
03/08/2024,426 - 900 MOUNT PLEASANT ROAD,TORONTO,ONTARIO,M4P3J9,CHRISTOPHER ANDREW BIBBY,RE/MAX HALLMARK BIBBY GROUP REALTY,"$749,900",43.7115287,79.3916203,1 day
05/08/2024,4202 - 101 CHARLES STREET E,TORONTO,ONTARIO,M4Y0A9,MASOOD WAHAB,HOMELIFE FRONTIER REALTY INC.,"$950,000",43.6696371,79.3805424,22 hours
05/08/2024,4202 - 311 BAY STREET,TORONTO,ONTARIO,M5H4G5,DHIREN PATEL,FOREST HILL REAL ESTATE INC.,"$1,671,000",43.6498478,79.3802017,144 days
31/07/2024,4205 - 11 WELLESLEY STREET W,TORONTO,ONTARIO,M4Y0G4,GRACE NG,SINCERE REALTY INC.,"$1,388,000",43.6651161,79.3841772,1 day
01/08/2024,4206 - 181 DUNDAS STREET E,TORONTO,ONTARIO,M5A0N5,JANICE ZHANG,HOMELIFE LANDMARK REALTY INC.,"$629,990",43.6570682,79.3740411,
01/08/2024,4207 - 14 YORK STREET,TORONTO,ONTARIO,M5J0B1,HARJOT SANDHU,ROYAL LEPAGE CREDIT VALLEY REAL ESTATE,"$649,000",43.6421544,79.381624,
31/07/2024,4207 - 501 YONGE STREET,TORONTO,ONTARIO,M4Y0G8,JASON HUAN CHEN,HOMELIFE NEW WORLD REALTY INC.,"$748,800",43.6631881,79.3836001,3 days
01/08/2024,4208 DUNDAS STREET W UNIT# PH810,TORONTO,ONTARIO,M8X0B1,NICHOLAS CROZIER,KELLER WILLIAMS REAL ESTATE ASSOCIATES,"$630,000",43.66048791,79.51164369,
01/08/2024,427 - 500 WILSON AVENUE,TORONTO,ONTARIO,M3H5Y9,JONATHAN NHAM,RESIDENTIAL DEVELOPMENT SERVICES INC.,"$605,000",43.7353469,79.4453099,
01/08/2024,421 - 295 ADELAIDE STREET W,TORONTO,ONTARIO,M5V0L4,JANETTE GILL,BERKSHIRE HATHAWAY HOMESERVICES TORONTO,"$619,900",43.6476752,79.390532,
30/07/2024,4211 - 38 WIDMER STREET,TORONTO,ONTARIO,M5V2E9,DAN HAO,GOLDEN BRIDGE REALTY,"$1,438,000",43.6480856,79.391839,109 days
01/08/2024,422 - 2301 DANFORTH AVENUE,TORONTO,ONTARIO,M4C0A7,WANDEE LEE,SUTTON GROUP OLD MILL REALTY INC.,"$639,900",43.686778,79.3072468,
31/07/2024,422 - 60 MENDELSSOHN STREET,TORONTO,ONTARIO,M1L0G9,JAMES MARTINEZ,RIGHT AT HOME REALTY,"$589,000",43.7160122,79.2823755,1 day
30/07/2024,425 - 119 MERTON STREET,TORONTO,ONTARIO,M4S3G5,JONATHAN GUCCI,ROYAL LEPAGE SIGNATURE SUSAN GUCCI REALTY,"$759,000",43.6967977,79.3923687,2 days
31/07/2024,425 - 30 INN ON THE PARK DRIVE,TORONTO,ONTARIO,M3C0P7,MOHAMMAD NAFARI FARD,ROYAL LEPAGE SIGNATURE REALTY,"$1,145,000",43.7192183,79.3481879,1 day
03/08/2024,426 - 1100 KINGSTON ROAD,TORONTO,ONTARIO,M1N0B3,WADE ADAMS,COLDWELL BANKER 2M REALTY,"$489,000",43.681477,79.2824707,25 minutes
01/08/2024,426 - 52 FOREST MANOR ROAD,TORONTO,ONTARIO,M2J0E2,RAV SARAI,HOMELIFE MAPLE LEAF REALTY LTD.,"$635,000",43.7733296,79.3458195,
31/07/2024,421 GLENHOLME AVENUE,TORONTO,ONTARIO,M6E3E8,LOUIS H. DESTOUNIS,HARVEY KALLES REAL ESTATE LTD.,"$1,099,000",43.6897253,79.442737,1 day
05/08/2024,4309 - 38 GRENVILLE STREET,TORONTO,ONTARIO,M4Y1A5,SAM HUI,RIGHT AT HOME REALTY,"$728,000",43.6618845,79.3857031,2 days
30/07/2024,4309 - 65 ST MARY STREET,TORONTO,ONTARIO,M5S0A6,MARAL KHALILI NAMAZI,CENTURY 21 PERCY FULTON LTD.,"$1,300,000",43.6671043,79.389327,47 days
30/07/2024,4311 - 761 BAY STREET,TORONTO,ONTARIO,M5G2R2,HAMID PARSA,CENTURY 21 ATRIA REALTY INC.,"$1,338,000",43.6596493,79.3849721,108 days
05/08/2024,45 DANBY AVENUE,TORONTO,ONTARIO,M3H2J4,STEVEN LESLIE GREEN,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$1,598,000",43.748091,79.4407502,124 days
05/08/2024,45 DUNDALK DRIVE,TORONTO,ONTARIO,M1P4V1,SHAWN SU,TARGET ONE REALTY POINT,"$980,000",43.7687634,79.2850864,267 days
31/07/2024,45 NORTHCOTE AVENUE,TORONTO,ONTARIO,M6J3K2,YAN GUREVICH,HARVEY KALLES REAL ESTATE LTD.,"$2,775,000",43.6442075,79.426191,1 day
03/08/2024,45 SWORDBILL DRIVE,TORONTO,ONTARIO,M9A4V3,ANDREAS TASSIOS,RIGHT AT HOME REALTY,"$3,895/MONTHLY",43.6820537,79.5243853,20 hours
31/07/2024,4501 - 50 YORKVILLE AVENUE,TORONTO,ONTARIO,M4W0A3,BARRY COHEN,RE/MAX REALTRON BARRY COHEN HOMES INC.,"$8,995,000",43.6717475,79.389694,5 hours
30/07/2024,4502 - 10 NAVY WHARF COURT,TORONTO,ONTARIO,M5V3V2,ANNA OLIVER,REAL BROKER ONTARIO LTD.,"$1,495,000",43.6404514,79.3919349,140 days
31/07/2024,4502 - 15 MERCER STREET,TORONTO,ONTARIO,M5V3C6,CATHY HAVERCROFT,BERKSHIRE HATHAWAY HOMESERVICES TORONTO,"$1,699,000",43.645588,79.3903385,1 day
05/08/2024,45 BAYVIEW RIDGE,TORONTO,ONTARIO,M2L1E3,ADAM BRIND,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$22,500,000",43.741992,79.3875863,206 days
05/08/2024,4503 - 311 BAY STREET,TORONTO,ONTARIO,M5H4G5,DHIREN PATEL,FOREST HILL REAL ESTATE INC.,"$1,795,000",43.6498478,79.3802017,147 days
01/08/2024,4504 - 8 EGLINTON AVENUE,TORONTO,ONTARIO,M4P0C1,SHERRY DABIR,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$629,000",43.7072161,79.3979456,
30/07/2024,4509 - 10 NAVY WHARF COURT,TORONTO,ONTARIO,M5V3V2,MUNIRA RAVJI,ROYAL LEPAGE SIGNATURE REALTY,"$1,349,999",43.6404514,79.3919349,7 days
05/08/2024,4509 - 10 NAVY WHARF COURT,TORONTO,ONTARIO,M5V3V2,MUNIRA RAVJI,ROYAL LEPAGE SIGNATURE REALTY,"$1,100,000",43.6404514,79.3919349,2 days
05/08/2024,4509 - 2200 LAKE SHORE BOULEVARD W,TORONTO,ONTARIO,M8V1A4,SUSAN TABIBZADAH,LIMELIGHT REALTY INC.,"$949,900",43.6229259,79.4818525,137 days
05/08/2024,451 ROGERS ROAD,TORONTO,ONTARIO,M6M1A6,PAUL HELPS,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$799,000",43.6822723,79.4650545,228 days
01/08/2024,4510 - 2212 LAKE SHORE BOULEVARD W,TORONTO,ONTARIO,M8V0C2,KOMAL USMAN,SOTHEBY'S INTERNATIONAL REALTY CANADA,"$628,000",43.6225296,79.4823428,
01/08/2024,4510 - 2221 YONGE STREET,TORONTO,ONTARIO,M4S0B8,GEETA RAJPAL,RE/MAX KEY2 REAL ESTATE,"$645,000",43.7060642,79.3977203,
31/07/2024,4504 - 8 EGLINTON AVENUE,TORONTO,ONTARIO,M4P0C1,SHERRY DABIR,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$599,000",43.7072161,79.3979456,1 day
05/08/2024,447 HORSHAM AVENUE,TORONTO,ONTARIO,M2R1H3,PETER ZETIC,SACHS REALTY INC.,"$1,399,900",43.7684637,79.4413614,182 days
