DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,4909 - 70 TEMPERANCE STREET,TORONTO,ONTARIO,M5H0B1,WILSON HON,EXP REALTY,"$659,900",43.6505301,79.3821482
06/07/2024,65 BLUE FOREST DRIVE,TORONTO,ONTARIO,M3H4W6,ALEKSANDRA TOJCIC,FOREST HILL REAL ESTATE INC.,"$2,399,900",43.7672749,79.453272
06/07/2024,818 - 85 EAST LIBERTY STREET,TORONTO,ONTARIO,M6K3R4,DYLAN PROVENCHER,KELLER WILLIAMS ADVANTAGE REALTY,"$619,900",43.6384398,79.4159892
06/07/2024,1601 - 70 QUEENS WHARF ROAD,TORONTO,ONTARIO,M5V0J2,JAMES LUO,HOMELIFE LANDMARK REALTY INC.,"$608,000",43.6385212,79.3994545
06/07/2024,1003 - 33 UNIVERSITY AVENUE,TORONTO,ONTARIO,M5J2S7,JUSTIN BREGMAN,RARE REAL ESTATE,"$829,888",43.6462538,79.3835997
06/07/2024,55 SHELBORNE AVENUE,TORONTO,ONTARIO,M5N1Y9,AMICHAY (MICHAEL) HARARI,RE/MAX REALTRON REALTY INC.,"$3,695,000",43.7166822,79.4246998
06/07/2024,7 PURLING PLACE,TORONTO,ONTARIO,M3B1V4,JOHN PASALIS,REALOSOPHY REALTY INC.,"$6,800,000",43.7471543,79.3757074
06/07/2024,2008 - 125 PETER STREET,TORONTO,ONTARIO,M5V0M2,SELWYN S LO,HOMELIFE BROADWAY REALTY INC.,"$755,000",43.6483618,79.3924804
06/07/2024,418 - 801 KING STREET WEST STREET W,TORONTO,ONTARIO,M5V3C9,ZITA MABEN,ROYAL LEPAGE SIGNATURE REALTY,"$525,000",43.6428637,79.4071306
06/07/2024,501E - 576 FRONT STREET W,TORONTO,ONTARIO,M5V1C1,KATHRYN LONG,RE/MAX CONDOS PLUS CORPORATION,"$459,000",43.6412006,79.4005331
06/07/2024,706 - 219 DUNDAS STREET E,TORONTO,ONTARIO,M5A0V1,ANDREW VAN BUSKIRK,RE/MAX URBAN TORONTO TEAM REALTY INC.,"$525,000",43.6574902,79.3729582
