DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
03/07/2024,1001 - 38 ELM STREET,TORONTO,ONTARIO,M5G2K5,ZHEN LIANG,RE/MAX EXCEL ADVANTAGE REALTY,"$599,000",43.6578425,79.3835701
27/06/2024,1001 - 5 MICHAEL POWER PLACE,TORONTO,ONTARIO,M9A0A3,KURTIS HORVAT,REALTY ONE GROUP FLAGSHIP,"$524,900",43.6442618,79.5288572
6/24/2024,1001 - 50 MCCAUL STREET,TORONTO,ONTARIO,M5T0B6,TRUMAN CHEN,BAY STREET INTEGRITY REALTY INC.,"$719,000",43.6518066,79.3906374
02/07/2024,1001 - 8 TIPPETT ROAD,TORONTO,ONTARIO,M3H0E7,SHAFIQ SEDIQZADAH,CENTURY 21 PERCY FULTON LTD.,"$495,000",43.7324138,79.4468862
25/06/2024,1002 - 1 FOREST HILL ROAD,TORONTO,ONTARIO,M4V1R1,BARRY COHEN,RE/MAX REALTRON BARRY COHEN HOMES INC.,"$9,995,000",43.6869117,79.4030105
27/06/2024,1002 - 1121 BAY STREET,TORONTO,ONTARIO,M5S2B3,SVETLANA CHKARBOUL,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$635,000",43.6679864,79.3885486
6/26/2024,1002 - 127 QUEEN STREET E,TORONTO,ONTARIO,M5C1S3,JOHN O'CONNOR,CORE ASSETS REAL ESTATE,"$514,500",43.6534879,79.3737616
6/25/2024,1002 - 1328 BIRCHMOUNT ROAD,TORONTO,ONTARIO,M1R0B6,MAHAA THEVAMURALY,CENTURY 21 INNOVATIVE PRIME HOME REALTY,"$739,000",43.7485378,79.2861688
03/07/2024,1002 - 155 BEECROFT ROAD,TORONTO,ONTARIO,M2N7C6,JULIE RUTHERFORD,KELLER WILLIAMS REFERRED URBAN REALTY,"$579,000",43.7655092,79.4140924
03/07/2024,1002 - 19 SINGER COURT,TORONTO,ONTARIO,M2K0B2,ELHAM SHAHBAN,IPRO REALTY LTD.,"$549,000",43.7687006,79.3700901
03/07/2024,1002 - 222 THE ESPLANADE STREET,TORONTO,ONTARIO,M5A4M8,MARC C. TRUMPHOUR,REAL ESTATE HOMEWARD,"$599,900",43.6497298,79.3652996
6/26/2024,1002 - 225 MERTON STREET,TORONTO,ONTARIO,M4S3H1,FRANK LEO,RE/MAX WEST REALTY INC.,"$625,000",43.6971818,79.3896853
02/07/2024,1002 - 235 GRANDRAVINE DRIVE,TORONTO,ONTARIO,M3N1J2,TANYA PODOLSKAIA,RIGHT AT HOME REALTY,"$359,900",43.748583,79.5059285
6/26/2024,1002 - 25 NEIGHBOURHOOD LANE,TORONTO,ONTARIO,M8Y0C4,KATELYN GARVEY,ROYAL LEPAGE/J & D DIVISION,"$1,045,000",43.6382223,79.489225
03/07/2024,1002 - 38 LEE CENTRE DRIVE,TORONTO,ONTARIO,M1H3J7,RAKESH TAAK,CENTURY 21 LEADING EDGE REALTY INC.,"$529,900",43.7817588,79.2466125
25/06/2024,1002 SPADINA ROAD,TORONTO,ONTARIO,M5N2M6,MICHAEL ULITSKY,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$2,988,000",43.7036188,79.4188152
03/07/2024,1003 - 10 GIBBS ROAD,TORONTO,ONTARIO,M9B0E2,JONATHAN ZADEGAN,RE/MAX HALLMARK ARI ZADEGAN GROUP REALTY,"$539,900",43.6387355,79.5580654
27/06/2024,1003 - 234 SIMCOE STREET,TORONTO,ONTARIO,M5T1T4,TOM HE,DREAM HOME REALTY INC.,"$719,900",43.6534287,79.3890647
6/29/2024,1003 - 255 VILLAGE GREEN SQUARE,TORONTO,ONTARIO,M1S0L7,CHARLES LI,"T-ONE GROUP REALTY INC.,","$599,000",43.7796324,79.2827329
03/07/2024,1003 - 2628 MCCOWAN ROAD,TORONTO,ONTARIO,M1S5J8,MAJIBUR RAHMAN MOLLAH,RE/MAX REALTRON REALTY INC.,"$550,000",43.8069337,79.2667061
27/06/2024,1003 - 30 GIBBS ROAD,TORONTO,ONTARIO,M9B0E4,PETER TU LAM,TRADEWORLD REALTY INC,"$498,000",43.6392239,79.5596305
03/07/2024,1003 - 3091 DUFFERIN STREET,TORONTO,ONTARIO,M6A0C4,ABBY YEN,CENTURY 21 MYPRO REALTY,"$527,800",43.7153136,79.454618
29/06/2024,1003 - 32 CAMDEN STREET,TORONTO,ONTARIO,M5V0G4,DAWN S. PEACE,RE/MAX TWIN CITY REALTY INC.,"$799,900",43.6472244,79.397228
02/07/2024,1003 - 32 TROLLEY CRESCENT,TORONTO,ONTARIO,M5A0E9,SARFRAZ AKBER JUMA,RIGHT AT HOME REALTY,"$485,000",43.6567221,79.3552819
03/07/2024,1003 - 33 UNIVERSITY AVENUE,TORONTO,ONTARIO,M5J2S7,JUSTIN BREGMAN,RARE REAL ESTATE,"$829,888",43.6462538,79.3835997
